repo,proof_id,proof_path,loc,files_in_scope,num_preconditions,num_var_models,num_func_models,symex_steps,sat_vars,sat_clauses,max_unwind,runtime_seconds,total_coverage,target_coverage,num_errors
aws/s2n-tls,s2n_hmac_hash_alg,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_hmac_hash_alg,36,1,0,0,0,174,960,1981,0,6.668,96.66666666666667,96.66666666666667,0
aws/s2n-tls,s2n_stuffer_raw_read,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_stuffer_raw_read,44,1,1,0,0,1107,15580,37600,0,9.419,100.0,100.0,0
aws/s2n-tls,s2n_array_new,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_array_new,23,1,0,1,0,5412,166214,631385,0,14.2,90.0,90.0,0
aws/s2n-tls,s2n_stuffer_skip_to_char,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_stuffer_skip_to_char,41,1,3,0,0,1732,34349,109928,0,8.392,97.77777777777777,97.77777777777777,0
aws/s2n-tls,s2n_blob_char_to_lower,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_blob_char_to_lower,38,1,2,0,0,1316,74167,228578,0,9.511,100.0,100.0,0
aws/s2n-tls,s2n_stuffer_write,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_stuffer_write,50,1,5,1,0,11383,162178,492106,0,19.16,91.35338345864662,91.35338345864662,0
aws/s2n-tls,s2n_hash_digest_size,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_hash_digest_size,24,1,0,0,0,136,892,1231,0,7.433,100.0,100.0,0
aws/s2n-tls,s2n_hash_digest,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_hash_digest,28,1,1,0,0,2557,19603,9907,0,9.967,100.0,100.0,0
aws/s2n-tls,s2n_stuffer_wipe,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_stuffer_wipe,29,1,1,0,0,1300,14942,35590,0,9.613,100.0,100.0,0
aws/s2n-tls,s2n_stuffer_reread,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_stuffer_reread,37,1,1,0,0,1043,13612,29900,0,8.55,100.0,100.0,0
aws/s2n-tls,s2n_stuffer_read_uint64,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_stuffer_read_uint64,42,1,1,0,0,1765,37467,113822,0,9.465,98.1651376146789,98.1651376146789,0
aws/s2n-tls,s2n_stuffer_get_vector_size,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_stuffer_get_vector_size,31,1,1,1,0,1523,20668,42437,0,9.743,94.3820224719101,94.3820224719101,0
aws/s2n-tls,s2n_hmac_hash_block_size,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_hmac_hash_block_size,39,1,0,0,0,146,882,1561,0,6.031,96.0,96.0,0
aws/s2n-tls,s2n_hash_hmac_alg,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_hash_hmac_alg,37,1,0,0,0,160,999,1960,0,7.43,96.66666666666667,96.66666666666667,0
aws/s2n-tls,s2n_dup,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_dup,48,1,3,1,0,2452,50313,166746,0,9.604,92.73743016759776,92.73743016759776,0
aws/s2n-tls,s2n_pkcs3_to_dh_params_openssl_1_1_0,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_pkcs3_to_dh_params_openssl_1_1_0,41,1,2,1,0,2381,28294,33790,0,9.535,98.29545454545455,98.29545454545455,0
aws/s2n-tls,s2n_free,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_free,41,1,1,1,0,1480,17104,38468,0,8.574,100.0,100.0,0
aws/s2n-tls,s2n_blob_init,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/s2n-tls/tests/cbmc/proofs/s2n_blob_init,26,1,1,0,0,191,,,0,9.454,100.0,100.0,0
